File_Name,Charge,Y_value,M,Vibration mode,Displacement,Chemicals_1,Chemicals_2,Chemicals_3,Chemicals_4,Chemicals_5,Chemicals_6,Chemicals_7
Ag2_0_01_1_-0.1.dat,0 ,101.63,01,1,-0.1,"['Ag', '0.000000', '0.000000', '1.228305']","['Ag', '0.000000', '0.000000', '-1.228305']",,,,,
Ag2_0_01_1_-0.2.dat,0 ,107.76,01,1,-0.2,"['Ag', '0.000000', '0.000000', '1.157305']","['Ag', '0.000000', '0.000000', '-1.157305']",,,,,
Ag2_0_01_1_-0.3.dat,0 ,123.26,01,1,-0.3,"['Ag', '0.000000', '0.000000', '1.086305']","['Ag', '0.000000', '0.000000', '-1.086305']",,,,,
Ag2_0_01_1_-0.4.dat,0 ,155.72,01,1,-0.4,"['Ag', '0.000000', '0.000000', '1.015305']","['Ag', '0.000000', '0.000000', '-1.015305']",,,,,
Ag2_0_01_1_-0.5.dat,0 ,218.69,01,1,-0.5,"['Ag', '0.000000', '0.000000', '0.944305']","['Ag', '0.000000', '0.000000', '-0.944305']",,,,,
Ag2_0_01_1_-0.6.dat,0,336.49,01,1,-0.6,"['Ag', '0.000000', '0.000000', '0.873305']","['Ag', '0.000000', '0.000000', '-0.873305']",,,,,
Ag2_0_01_1_0.1.dat,0 ,102.30,01,1,0.1,"['Ag', '0.000000', '0.000000', '1.370305']","['Ag', '0.000000', '0.000000', '-1.370305']",,,,,
Ag2_0_01_1_0.2.dat,0 ,105.40,01,1,0.2,"['Ag', '0.000000', '0.000000', '1.441305']","['Ag', '0.000000', '0.000000', '-1.441305']",,,,,
Ag2_0_01_1_0.3.dat,0 ,109.13,01,1,0.3,"['Ag', '0.000000', '0.000000', '1.512305']","['Ag', '0.000000', '0.000000', '-1.512305']",,,,,
Ag2_0_01_1_0.4.dat,0 ,113.04,01,1,0.4,"['Ag', '0.000000', '0.000000', '1.583305']","['Ag', '0.000000', '0.000000', '-1.583305']",,,,,
Ag2_0_01_1_0.5.dat,0 ,116.84,01,1,0.5,"['Ag', '0.000000', '0.000000', '1.654305']","['Ag', '0.000000', '0.000000', '-1.654305']",,,,,
Ag2_0_01_1_0.6.dat,0,120.39,01,1,0.6,"['Ag', '0.000000', '0.000000', '1.725305']","['Ag', '0.000000', '0.000000', '-1.725305']",,,,,
Ag2_0_01_1_0.8.dat,0,126.38,01,1,0.8,"['Ag', '0.000000', '0.000000', '1.867305']","['Ag', '0.000000', '0.000000', '-1.867305']",,,,,
Ag2_0_01_1_1.dat,0,130.72,01,1,1,"['Ag', '0.000000', '0.000000', '2.009305']","['Ag', '0.000000', '0.000000', '-2.009305']",,,,,
Ag2_0_01_eq.dat,0 ,100.60,01,1,0,"['Ag', '0.000000', '0.000000', '1.299305']","['Ag', '0.000000', '0.000000', '-1.299305']",,,,,
Ag2_1_01_1_-0.1.dat,1 ,271.50,01,1,-0.1,"['Ag', '0.000000', '0.000000', '1.325997']","['Ag', '0.000000', '0.000000', '-1.325997']",,,,,
Ag2_1_01_1_-0.2.dat,1 ,274.15,01,1,-0.2,"['Ag', '0.000000', '0.000000', '1.254997']","['Ag', '0.000000', '0.000000', '-1.254997']",,,,,
Ag2_1_01_1_-0.3.dat,1 ,280.97,01,1,-0.3,"['Ag', '0.000000', '0.000000', '1.183997']","['Ag', '0.000000', '0.000000', '-1.183997']",,,,,
Ag2_1_01_1_-0.4.dat,1 ,295.36,01,1,-0.4,"['Ag', '0.000000', '0.000000', '1.112997']","['Ag', '0.000000', '0.000000', '-1.112997']",,,,,
Ag2_1_01_1_-0.5.dat,1 ,323.46,01,1,-0.5,"['Ag', '0.000000', '0.000000', '1.041997']","['Ag', '0.000000', '0.000000', '-1.041997']",,,,,
Ag2_1_01_1_0.1.dat,1 ,272.02,01,1,0.1,"['Ag', '0.000000', '0.000000', '1.467997']","['Ag', '0.000000', '0.000000', '-1.467997']",,,,,
Ag2_1_01_1_0.2.dat,1 ,273.60,01,1,0.2,"['Ag', '0.000000', '0.000000', '1.538997']","['Ag', '0.000000', '0.000000', '-1.538997']",,,,,
Ag2_1_01_1_0.3.dat,1,275.53,01,1,0.3,"['Ag', '0.000000', '0.000000', '1.609997']","['Ag', '0.000000', '0.000000', '-1.609997']",,,,,
Ag2_1_01_1_0.4.dat,1 ,277.62,01,1,0.4,"['Ag', '0.000000', '0.000000', '1.680997']","['Ag', '0.000000', '0.000000', '-1.680997']",,,,,
Ag2_1_01_1_0.8.dat,1,285.97,01,1,0.8,"['Ag', '0.000000', '0.000000', '1.964997']","['Ag', '0.000000', '0.000000', '-1.964997']",,,,,
Ag2_1_01_1_1.dat,1,289.61,01,1,1,"['Ag', '0.000000', '0.000000', '2.106997']","['Ag', '0.000000', '0.000000', '-2.106997']",,,,,
Ag2_1_01_eq.dat,1 ,271.13,01,1,0,"['Ag', '0.000000', '0.000000', '1.396997']","['Ag', '0.000000', '0.000000', '-1.396997']",,,,,
